subject	value_3t	value_7t
sub-01187	4.62558072828561	1.80407605888768
sub-04843	5.45209799810253	2.10399548687528
sub-05117	4.51341259382464	1.99806995999275
sub-05532	4.83651917157535	1.74507281622695
sub-06180	5.02176575249928	2.090313588833
sub-06400	4.8755639531748	2.26716006152719
sub-06783	5.10329651684451	2.2880257279023
sub-08033	5.02854312157967	2.40593723011055
sub-08096	5.33200757074746	2.5522685238711
sub-08726	5.35140054763587	2.50699945010715
sub-09188	5.05714093444509	2.76158352198458
sub-09540	5.34410423076714	2.66493012668299
sub-09720	4.22757643850516	1.75041526848347
sub-10677	4.51532234212621	1.91597155043396
sub-10839	5.01945809744156	2.32145831413253
sub-11220	4.8160022905379	2.11459666337883
sub-12054	5.204344844557	2.26098518566114
sub-12503	5.87227057921814	2.76113523951794
sub-12653	4.71424624359878	1.79380588130879
sub-13206	5.11081570641459	2.34135204276106
sub-13953	5.08851308278924	2.16906115028163
sub-14445	5.40124203575229	2.60927625244928
sub-14900	4.6700545091775	1.91543587752602
sub-14936	5.04472873858733	2.13080337796461
sub-17279	5.33659176709811	1.98967984573773
sub-17726	5.23814799069149	2.53932631867573
sub-19230	5.39764013859017	2.1260338943472
sub-20028	4.97492280397937	2.40957806491364
sub-20609	5.20423411152326	2.27335772460785
sub-22442	5.11327340111277	2.37257531356458
sub-22482	4.96411500197452	1.79488579578157
sub-22786	6.05090816013735	2.78063615943275
sub-22943	5.6087256082136	2.50398900337246
sub-23042	5.76534244931837	2.71838466215149
sub-23322	4.65311409499827	2.04622685660398
sub-24295	5.17895183381286	2.17229691543136
sub-24372	5.20077964440871	2.56514004958948
sub-26383	5.77414690652908	2.34431849878259
sub-27711	4.9848300520688	2.47606050631757
sub-27934	4.43498823181934	1.31149943952477
sub-28276	4.76266986979049	2.12338371740131
sub-28617	5.09749593177771	2.23477086094964
sub-30090	5.40060303126627	2.63446459001631
sub-30648	3.98136794452494	1.20173305870817
sub-31017	5.54921838469519	2.67044842918272
sub-33184	5.52640610417573	2.38572961571139
sub-33639	5.37621557912582	2.22253659823833
sub-34986	5.56765462067404	2.48687124311269
sub-35814	5.23092707650321	2.2682924676732
sub-36346	5.45079358466204	2.57070664415147
sub-38553	5.58064447830357	2.19832464381209
sub-38989	5.44470896381042	2.55771000850776
sub-39332	5.4563884549869	2.26487371129267
sub-39546	5.22136389625215	2.03503837251104
sub-40079	5.51463946397619	2.5476552394058
sub-42086	5.36425815195704	2.11767688116754
sub-42863	4.86501569270399	2.23211926472096
sub-43240	4.8498210712542	2.18085858041817
sub-43425	4.74144155541422	2.38831282080593
sub-43766	4.79414762564971	1.98779895713248
sub-45148	4.99325955723242	1.87487225055773
sub-45644	5.24074603987209	2.07751272756305
sub-46263	4.85494551329548	1.81010854980982
sub-47050	4.60405706102877	1.91276158181358
sub-47206	4.86813634070257	2.2633206957507
sub-47379	4.61776413772624	2.19290077948931
sub-47803	5.05538246059921	1.97915568076226
sub-49618	5.07661955194345	1.91270812616139
sub-50530	4.88982968411891	2.24031161443658
sub-51896	4.83729738527207	1.91733137361495
sub-52789	5.13966529241514	2.37574797759393
sub-52967	5.15638967473311	2.16052709393393
sub-53679	5.37817446026266	2.57704985346963
sub-53696	5.87100852869243	2.39761635772881
sub-54552	4.60770480240123	1.78231322268361
sub-57198	5.4406274239697	2.82858689957905
sub-60324	4.92843234772557	1.90331876622744
sub-61696	4.58012757554936	2.2180401794921
sub-61880	4.53035611957757	2.01862909046182
sub-62452	4.58520979190726	1.80506057329152
sub-62533	4.56566343635937	1.93757269840146
sub-63392	5.82203809792088	2.61243675604887
sub-64564	5.46687012348349	2.45760589600131
sub-64907	5.02038179706695	2.07855465749585
sub-64927	6.01764102046814	2.57467269882609
sub-64988	5.74987940409402	2.83775169344136
sub-65969	4.90930775230695	1.71284178074228
sub-66055	4.16163500915784	1.6124572917685
sub-67613	5.28878249765443	2.28285258032204
sub-67731	4.75705818700815	1.91251098371798
sub-68443	5.25574771919312	2.31377568243494
