subject	value_3t	value_7t
sub-01187	30.2767639160156	28.6170948701911
sub-04843	35.5465393066406	22.9245961904526
sub-05117	24.3731346130371	25.0001111011952
sub-05532	18.8748970031738	16.1159801015165
sub-06180	27.5895385742188	22.5869937837124
sub-06400	28.4201850891113	26.2658068286255
sub-06783	26.6190376281738	22.4672365933657
sub-08033	29.5259742736816	24.9480991177261
sub-08096	20.5728092193604	14.4808547215071
sub-08726	25.4046115875244	21.801295154728
sub-09188	24.9688453674316	22.3848687852733
sub-09540	29.5367794036865	26.1880538929254
sub-09720	27.8928337097168	21.9086011946201
sub-10677	32.5774230957031	28.5097844898701
sub-10839	24.2369613647461	24.3058115709573
sub-11220	21.388126373291	21.2667215764523
sub-12054	25.2193126678467	20.7393421791494
sub-12503	26.2331829071045	19.8291920071933
sub-12653	23.927360534668	26.4554996490479
sub-13206	33.8044929504395	16.3314603338367
sub-13953	30.9782333374023	26.8595757633448
sub-14445	23.223690032959	15.5584300174378
sub-14900	21.1342124938965	19.3290814440697
sub-14936	21.6655158996582	20.5206933816662
sub-17279	26.8064384460449	26.6629869742319
sub-17726	26.3958415985107	21.3438691338524
sub-19230	23.9269771575928	20.8839834108949
sub-20028	29.6658363342285	25.2111670486629
sub-20609	29.1555366516113	23.8914058599621
sub-22442	23.2109203338623	25.1174965216778
sub-22482	21.6958999633789	25.1682435572147
sub-22786	24.4644012451172	22.9301634386647
sub-22943	30.5893974304199	32.4352857470512
sub-23042	22.3565101623535	18.5475508664967
sub-23322	30.8002624511719	24.8062308286317
sub-24295	25.8628273010254	26.701388426125
sub-24372	25.2780418395996	18.836155482335
sub-26383	18.5448894500732	14.6798393926583
sub-27711	24.7579746246338	27.4746292224154
sub-27934	22.4183540344238	20.3308335542679
sub-28276	25.2609672546387	22.6961100101471
sub-28617	26.1259307861328	25.2922627944499
sub-30090	26.7720680236816	22.7512625278905
sub-30648	28.6600875854492	22.4667491912842
sub-31017	31.4938011169434	28.2806742014363
sub-33184	20.0073204040527	14.1289045714075
sub-33639	31.1129913330078	30.6224755849689
sub-34986	21.2959880828857	23.7742556333542
sub-35814	20.9740581512451	19.4988877866417
sub-36346	14.906720161438	21.2082801229553
sub-38553	26.0070896148682	24.5783519372344
